,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1081,Pdzk1ip1,Fli1,Fam222a,Ttll8,Nxph4,Kcnc2,Gas2l2,Hydin,Pdzk1ip1,Cd2,Col5a3,Pstpip1,Chrna3,Sytl3,Glis3,Lrp2,Tmprss5,St8sia5,Steap2,Slamf6
1082,Ribc2,Synpr,Perp,Birc3,Lgals3,Prom1,Cfap73,Cfap57,Slc27a3,Arhgdib,Fcer2a,Strip2,Sec1,Arhgap36,Il34,Nmur2,Trpc4,Wtip,Dusp1,Acan
1083,Magix,Lcp2,Il15,Sema6c,Tac1,Relb,Cfap54,H2-M2,Ccl1,Rsad2,Cnksr3,Slc6a7,Dmrt2,Ahsg,Emid1,Nme9,Drc1,Grasp,Fcer2a,Col19a1
1084,Sypl2,Tnfrsf12a,Nos2,Btg1,Slit2,H2-DMb1,Kif27,Tcte1,Wdr38,Rph3al,Apoc1,Tnni3,Slc6a16,Tgtp1,Lcp2,Map3k7cl,Fam183b,Rubcnl,Slit2,Sema3f
1085,Eppk1,Clec2d,Stk33,Grik3,Cd53,Akain1,Myl9,Btg2,Dnah3,Hcrtr1,Pik3ap1,Cd79a,Mindy4b-ps,Acad12,Unc13d,Ccdc33,Map4k1,Atf3,Nts,Il2rb
1086,Mef2b,Kcnn3,Scnn1a,Ckm,Tagln,Gbp5,Cfap299,Ccl3,H2-Oa,Prrt4,Itgal,Rec8,C1ql4,Cyb5r2,Arc,Dnah10,Efcab12,Fos,Prph,Herc6
1087,Cyb5r2,Pacrg,Phf11b,Syt6,Plcxd3,Nrg1,Ascl2,Ccdc60,Ccl5,Kcnn3,Prima1,Col5a3,Atp1b4,Misp,Ptpn18,Lrrc74b,Cfap61,Ret,Tm4sf1,Glis3
1088,Mlf1,Ret,Gkn3,Esrrg,Cnn2,Bbox1,Enkur,Plekhg2,Cd209c,Clcn4,Gimap8,Hoxd11,Ntf3,Artn,Sema3g,Lrrc9,Pgam2,Rgs9,Rubcnl,Plau
1089,Vsig2,Themis2,Adgrg2,Adamtsl1,Syt6,Emid1,Zbbx,Smim5,Tgtp1,H2-Oa,Ogn,Ltb,Ttc6,Zmynd15,Npy,Crocc2,Tmem212,Lgals3,Tchh,Cd82
1090,Baiap2l1,Rasip1,Ankle1,C1s1,Esrrg,Fli1,Chia1,Ect2l,Prss38,Cd22,Tpbg,Fcer2a,Sis,Ribc1,Sla,Mroh3,Spata33,Rasl12,Tsga10,Ppil6
1091,Perp,Rasl12,Hist1h2ap,Cd19,Calb1,Pstpip1,Ccdc60,BC030867,Acad12,Spn,Helz2,Birc3,Syna,Slc44a3,Siglecg,Zmynd10,Meig1,Ikzf3,Ret,Sell
1092,Casc1,Lama4,Cdhr3,Pecam1,Col11a1,Synpr,Dnah12,Tsnaxip1,Misp,Stab1,Usp18,Sigirr,Clec4d,AI182371,Tesc,Lrrc36,Egr3,Myl9,Col11a1,Acvrl1
1093,Gpr179,Tnni2,Grp,Neurl3,Lat2,Plekhd1,Wdr49,Dnah11,Rxfp3,Higd1b,Clstn2,Traf3ip3,Ribc2,A3galt2,Col25a1,Lrrc71,Ak7,Tcf7l2,Foxq1,Bcam
1094,Glis3,Tcf7l2,Plin1,Hspb1,Nppc,H2-Oa,Cd109,Cfap206,Grm6,Ajuba,Cd79b,Lat2,Dnase1l3,Pbk,Nfatc1,Dusp1,Obscn,Glis3,Kcnq4,Crabp1
1095,Ccdc121,Bcl2l12,Cyb5r2,Efcc1,Myoc,Pik3ap1,Car3,Nms,Folr1,Mzb1,Chn2,Apbb1ip,Baiap3,Esr2,Dock6,Dnah5,Lmod1,Gimap4,Tnfaip8,Pik3ap1
1096,Ramp2,Ano1,Misp,Ncf4,Ret,Plcxd3,Ntn4,Daxx,Cckar,Adam33,Neurl3,Cd79b,Nanos3,Socs1,Trim68,Ribc2,Flna,Chrm2,Herc6,Oprm1
1097,Bnipl,Rras2,Wnt2b,Gimap6,Abcc8,Usp18,Myh4,Arhgap29,Artn,Abcc9,Hspb1,Thap1,Ifi205,Lhx2,Gimap1,Calcb,Jph2,Lsp1,Chst3,Haao
1098,Hist1h1t,Ushbp1,Artn,Mylpf,Pold1,Helz2,Scnn1a,Gjd2,Lhx6,Traf3ip2,Ston1,Efcc1,Srd5a2,Cox7b2,Arhgap33,Cfap126,Nkx6-1,Myh11,Tnni2,Itm2a
1099,Ccdc150,Kcnc2,Rph3al,Ano1,Ncf4,Clstn2,Gkn3,Htra3,Cyb5r2,Sprr1a,Pik3cd,Apoc1,Sstr4,E2f8,Tmem41a,Col5a3,Hrk,Unc13b,March11,Cxcl10
1100,Cox7b2,Prom1,Ect2,Kcnc2,Gimap6,Lck,Stk33,Ttc29,Prkag3,Hcls1,Bcl2l12,Gpr17,Ubxn10,Cdc6,Il1r1,Mlf1,Ccdc88c,Tek,Trem2,Birc3
1101,Cfap73,Itpr3,Gtse1,Crip1,Ano1,Foxq1,Prph,S100a8,Ahsg,S1pr4,Pold1,Slamf6,Casc1,Fam155a,Prph,Dnah2,Des,Rsph9,Foxc1,Glycam1
1102,Iqcd,Zfp366,Aldh3b2,Relb,Kcnc2,Pdgfrb,Ccdc81,Tctex1d4,Marveld3,Cyp26b1,Pdgfrb,Zfp366,Ifi203,Syt7,Nts,Ccl3,Spef1,Col18a1,Tinagl1,Slc19a1
1103,Foxp3,Atp2a1,Rhd,Rasgef1b,Zfp366,Rab15,Cdhr3,Tcp11,Art1,Ifi209,Herc6,Itpr3,Synpo2,Slc4a1,Pipox,Dnali1,Syt17,Syt5,Cldn19,Ifih1
1104,Il6,Ighd,Krt18,Palmd,Tcf7l2,Lingo4,Grp,Rsph9,Kcnh4,Nfkbie,Ifi30,Slc6a20a,Bnipl,Utf1,Fli1,Hoxc13,Gper1,Slc30a3,Myh11,Higd1b
1105,Klhl40,Ascc1,Tmem74bos,Akain1,Stab1,Lmx1b,Vwa3a,Ccdc65,Pifo,Igha,Chst3,Col25a1,Il12rb2,Tpbg,Mef2c,Cfap73,Rtp4,Ptpn18,Kcnip2,Degs2
1106,Il19,Zc3h12a,Cacng6,H2-DMb1,Hvcn1,Eln,Star,Col5a3,Mef2b,Aldh1a2,Chrm2,Trem2,AI987944,Myh1,Ascc1,Gas2l2,Nmu,Grin2c,Strip2,Col13a1
1107,Dnah7b,Akain1,Esr2,Nrg1,Myl9,Zc3h12a,Ccdc146,Dnah1,Wnt2b,Osbp2,Kcnn4,Atp2a1,Ces2g,Npy,Arhgap19,Daw1,Rasgef1b,Trim68,Uba7,Ecrg4
1108,Spata33,Sphkap,Shcbp1,Tmem41a,Ncf2,Fgd5,Kcnmb1,Cyp1b1,Clhc1,Pik3cd,C1qc,Tmem108,Urah,Kif14,Irf1,Acta2,Fam169b,Nfkb2,Ncf2,Tmem123
1109,Trbv12-2,Il16,Phox2a,Clec2d,Col15a1,Rcsd1,Grasp,Spn,Has1,Irx3,Ecrg4,Grm5,Nrk,Tlr11,Hspb1,Pkd1l2,Eno4,Ttll8,Hvcn1,Rhoh
1110,Krt18,Nrg1,Fsip1,Pstpip1,Tnfrsf12a,Tinagl1,Fam92b,Cdhr3,Sctr,Cxcr5,Sphkap,Chrm2,Trim55,Fabp4,Rasgrp1,Kif27,Col15a1,Myof,Rec8,Pax5
1111,Kcne2,Cemip2,C1ql4,Acta1,Grasp,St8sia5,Sema3e,Ccdc113,Shcbp1,Rtp4,Unc13b,Snx20,Slpi,Pgam2,Tm4sf1,Col20a1,Traf3ip2,Grik3,Rarres2,Arhgap33
1112,Aldh3b2,Slc30a3,Dmrt2,Ighd,Synpo2,Fam149a,Tbx1,Unc13b,Ribc1,Ssh3,Tek,Col15a1,Mroh8,Pcdhb6,Rtp4,Cfap299,Drc3,Isg15,Gimap3,Slfn5
1113,Prr33,Dusp1,Gal,Pik3cd,Srrm4,Sept1,Fam183b,Kcnmb1,Pbk,Fam169b,Kcnd3,Ncf2,Cnksr1,Cd40,Nppc,Catip,Nmbr,Syt6,Apobec3,Otof
1114,Odf3,Nxph4,Echdc3,H2-Oa,Pik3ap1,Slc22a8,Crb2,Hoxc8,Phox2a,Col6a3,Dlk1,Tnfrsf12a,Actg2,Gzma,Steap2,Cfap61,Dhh,Esrrg,Cdkl1,Tnfrsf13c
1115,Plin5,Afap1l2,Tnfsf9,Adcyap1,Tbc1d10c,Nkx2-2,Baiap2l1,Oas3,Rslcan18,Pi16,Fam149a,S100a4,Tdrd12,Zfp951,Cd19,Strip2,Rph3al,Tnfrsf12a,Synpo2,Ncf4
1116,Utf1,Fcer2a,Pkd1l2,Wtip,Rac2,Cdkl1,Efcab12,Hipk4,Cass4,Ccbe1,Syt5,Il4i1,Cdkn2a,Cplx1,Wdfy4,Ccdc65,Kcnn3,Bgn,Lgals3,Bcl11a
1117,AC151602.1,Plcb2,H2-Q2,Usp18,Ttll8,Rgs9,Ccdc33,Myocd,A3galt2,Gja4,Slc30a3,Synpo2,Ttc16,Hist1h2ap,Ifit3,Dnah11,Mrvi1,Psmb9,Zic1,Hspa2
1118,Got1l1,Ccn2,Serinc4,Afap1l2,Glis3,Lgals3,Spag6l,Stoml3,Cacng6,Tbx2,Tmem108,Slc22a8,Hist1h2ae,Isl1,March11,Ccdc60,Zik1,Gimap6,Col18a1,Zfp366
1119,Gfy,S100a4,Prok1,Lck,Ccm2l,Sp100,Lrriq1,Rxfp1,Slc44a3,Ifit3b,Col5a1,Vav1,Ect2,Dffa,Slfn5,Zbbx,Irx3,Ano1,Esrrg,Siglecg
1120,Slc30a2,Ckm,Fam166b,Foxq1,Tmem125,Glis3,Rfx2,Rgs1,Esr2,Oprd1,Gpr37,Nfatc1,Lrguk,Gpr139,Grasp,Chia1,Ifit1,Mylpf,Syt6,Serpina3g
1121,Treml1,Syt6,Zbtb42,Tbx1,Tpbg,Tagln,Smim38,Ccdc114,Zfp982,Pik3ap1,Apbb1ip,Rgs9,Il1b,Pdyn,H2-Q4,Dynlrb2,Calca,Sept1,Nid1,Lgals3
1122,Calr4,Col5a1,Lrp2,Myl9,Usp18,Kcnj9,Slc4a9,Clec10a,Sec1,Odf3b,Rasip1,Cnn2,Nek2,Snhg11,Itga4,Spef2,Sfrp4,Rac2,Gimap4,Wdfy4
1123,Spef2,Nfatc1,Ascl2,Lingo4,Hspb6,Irf7,Iqcd,Ankrd66,Acot5,Star,Cdkl1,Atp13a4,Tnfsf9,Spdl1,Itpr3,Casc1,Cacng5,Kcnc2,Sigirr,Stab1
1124,Slpi,Ikzf1,Cyp1b1,Pold1,Foxq1,Ccm2l,Foxd3,Slc14a2,Kif4,Cd55,Synpo2,Srrm4,Cnn1,Car5a,S100a4,Dnah12,Rsph4a,Arhgap25,Tbx1,Itk
1125,Cnksr1,Rab37,Saa1,Rab15,Col6a1,Sv2b,Ramp2,Ak9,Gpr20,Pdyn,Sh3bp4,Ptpn18,Ccdc81,Wnk4,Kcnip2,Wdr49,Myb,Egr1,Thap1,Morc2b
1126,Hsf2bp,Sema3b,Fosb,Bcl2l12,Wtip,Pnma3,Ano1,Nsg1,Gjd3,Dhh,Grik3,Steap2,Drc1,Aldh1a2,Cd53,Kif9,H2-Eb2,Akain1,Arhgef18,Srgn
1127,Serinc4,Nell2,Mrgprh,Art3,Itga1,Ccn2,Ccl3,Zfp273,Chrna3,Cfap65,Nfatc1,Glis3,Nfatc1,Gp1bb,Atf3,Abcc9,Gprc5c,H2-DMb1,Hhex,Kcnip2
1128,Pde6b,Foxq1,Cfap47,Chst3,Pcolce,Grin2c,Lrrc71,Ccdc89,AI182371,Rubcnl,Rnf122,Pdgfrb,Pdcd1lg2,Tmem132a,Zc3hav1,Myh4,Fam216b,Lat2,Col25a1,Prph
1129,Neu4,Apbb1ip,Th,Vav1,Btg1,Myoc,Lrrc23,AC151602.1,Xirp2,Des,Gimap4,Grik3,Sbk2,Piwil2,Tsga10,Stk33,Apobec2,Pou2f2,Gimap6,Hoxd11
1130,Srd5a2,Apoc1,Uhrf1,Card9,Pnma3,Afap1l2,Glis3,Top2a,Tctex1d1,Iglc3,Glis3,Irf5,Tslp,Slc4a10,Cd79b,Gkn3,Rsph9,Nrg1,Jak3,Itga4
1131,Teddm2,Pcolce,Ccl2,Col9a2,Col6a2,Trim68,Pde4c,Kcnc2,Grb10,Izumo1r,H2-Q4,Fgd5,Nppb,Nkx2-2,Rec8,Kit,Lrrc43,Tnfaip8,Zfp366,Tmem131l
1132,Fosb,Chrm2,Pih1d2,Ccdc114,Acta1,Gad2,Hrk,Relb,Il12rb2,Ttll8,Atp13a4,Syt6,Them5,Lta,Ikzf3,Efhc1,Egfl8,Bbox1,Relb,Sla
1133,Pdcd1lg2,Tmem125,Cabcoco1,Col15a1,Prom1,Snx20,Ttll6,Helz2,Cdc6,Wdr78,Sigirr,Clstn2,Ifi209,Pou4f1,Srrm4,Grp,Wdr78,Herc6,Crip1,Cmpk2
1134,Olfr267,Cd53,Foxd3,St8sia5,Slc6a20a,Slc6a20a,Myl2,Zbp1,Iqca,Sbspon,Klk6,Adcyap1,Pth2r,Has2,Kcns3,Cdhr3,Daxx,Itga1,Malt1,Tagap
1135,Them5,Myh11,Tnfrsf17,Ncf2,Gbp5,Myl9,Odf3b,Ccl7,Gsg1,Baz1a,Ushbp1,Icam1,Pih1d2,Dlgap5,Slit2,Ccdc81,Th,Ifit3,Gbp5,Cnn2
1136,Tslp,Itga1,Gabre,Fam149a,Rtp4,Hspa2,Sctr,Ccdc40,Ms4a4d,Olfml2a,Nr4a1,Cntnap5a,Fam81b,Ucn,Kcnn3,Kcnmb1,Tagln,Cd53,Il4i1,Cd79a
1137,Icam2,Bbox1,Vwa5b1,Grap,Ifi30,Slc15a3,Hoxc13,Sipa1,Olfr558,Relb,Kcnj9,Prelp,Cd300lb,Rdh1,Rsph9,Ascc1,Abcc9,Pstpip1,Bbox1,Trbv16
1138,Hspa2,Gpsm3,Cdca8,Egr1,St8sia5,Rbpms,Spag16,Slc4a9,Col6a6,Dnah9,Thap1,Pnma3,Mrgprh,Nckap1l,Tek,Zik1,Six5,Synpr,Slc6a7,Tmem41a
1139,Wdr49,Bmp6,Clec12b,Ptpn18,Gad2,Itgal,Mak,Foxd3,Cox7b2,Crip1,Cd53,Lmx1b,Uts2b,AW551984,Hspg2,Cdkn1a,Gimap6,Vtn,Lmo3,Thpo
1140,Acan,Col15a1,Xirp1,Grasp,Ifih1,Gimap8,Cfap43,AW551984,AI987944,Tcof1,Tmem125,Grin2c,Samd3,Shox2,Helz2,Fam92b,Iglc1,Nr2f2,Tnfrsf12a,Rtp4
1141,Pklr,Isg15,Enpp3,Slc22a8,Art3,Myo7a,Drc7,Nmbr,E2f8,Egr3,Arhgef18,Mgat5b,Gfra3,Lmtk3,Slc4a10,Spef1,Icam2,Adamtsl1,Pstpip1,Prom1
1142,Angptl1,Sema3f,Cyp11b1,Cdkl1,Fam107b,Themis2,Lypd1,Nek11,Epcam,She,Hic1,Mylpf,Csrp3,Pclo,Fgd5,Wdr66,Ascc1,Ccm2l,Nxph4,Tcap
1143,Has2,Gad2,Klhl10,Rgs9,Slc22a8,Rac2,Dffa,Calcb,Onecut3,Mycbpap,Gimap6,Tnni2,Wif1,Tlr2,Cartpt,Rbm24,Higd1b,Srrm4,Wdfy4,Rasgrp1
1144,Slc26a3,Grasp,Tex43,Lgals3,Fos,Nell2,Col16a1,Cacng5,Mmp3,Cpne4,Psmb9,Ncf1,Wnt10b,Irf5,Rnf213,Spag6l,Ttc21a,Mgat5b,Mef2c,Trim66
1145,Trarg1,Slc22a8,Akap14,Fgd5,Slc15a3,Cdh18,Fhad1,Ttc34,Lhx2,Parp14,Mylpf,Pik3cd,Trarg1,Rgs9,Snx20,Trpc4,Myom1,Slit2,Synpr,Hspa12b
1146,Vmn2r57,Rarres2,Syt15,Sp100,S100a4,Acap1,Pgam2,Lmod2,F10,Paqr5,Kcnc2,Zc3hav1,Tnfrsf17,Fam169b,Pold1,Slc4a9,Kcnj8,Hvcn1,Ltb,Snca
1147,Cd8a,Ifih1,Cfap70,Gimap4,Myo7a,Lat2,Tmem212,Slc26a3,Armh1,Fcrl1,Pnma3,Atp2a3,Fbxl13,Kifc2,Stat6,Smim38,Mycl,Plcxd3,Hoxd11,Zfp941
1148,Tcf7l2,Atp2a3,Zfp442,Kcnd3,Clstn2,Col11a1,Cfap61,Cfap52,Hist1h1t,Slfn2,Bmp6,Rarres2,Gas2l2,Nms,Kcnd3,Iqcd,Prune2,Grm5,Enpp6,Kcns3
1149,Cldn5,H2-Ob,Wnt16,Dlk1,Anxa11,Pou2f2,Ccdc151,Mlf1,Ccdc150,Isg15,Grin2c,Nrg1,Lmo3,Car3,Chst3,Lrguk,Oprd1,Ston1,Itga4,Acap1
1150,Troap,Plcg2,Ccdc121,She,Traf3ip3,Tnfaip8,Spata17,Anxa11,Trp73,Cald1,Atp13a5,Cldn19,Hsd17b1,Nkain2,Lmx1b,Lypd6,Stra6,Helz2,Plcxd3,Mycl
1151,March10,Slit2,Tmem232,Sept1,Herc6,Herc6,Ttc25,Syt10,Slc24a5,Lhfpl5,Akain1,Sphkap,Pik3ap1,Nmur2,Ttll8,Ptprb,Cfap54,Usp18,Gpsm3,Map3k20
1152,Sowahb,Thbs2,Dnah5,Sox18,Grap,Il16,Wdr78,Cpne4,Slc4a1,Emid1,H2-DMb1,Cdkl1,Atp2b4,Kcnh8,Plekhg2,Pih1d2,H2-DMb2,Fam107b,Tnfrsf13c,Pacrg
1153,Chaf1b,Plcxd3,Ribc2,Abcc8,Six5,Btg1,Casc1,Gja4,Plaat5,Hic1,Nrg1,Itgal,Ccdc151,Ctsw,Ckm,Rsph9,Fxyd7,Clstn2,Themis2,Arid3b
1154,Colec10,Esrrg,Calcb,Sv2b,Sv2b,Isg15,Ubxn10,Card9,Cnn1,Stk10,Cd83,Lrmp,Neurl1b,Trpc4,Esrrg,Calr4,Cpne4,Tbc1d10c,Inpp5d,Palmd
1155,Pheta2,Sp100,Cpne7,Pip5kl1,Rab15,Adgrl4,Dlec1,Pth2r,Chrne,Btla,Serpinf1,Cdkn1c,Dthd1,Ccl17,Pik3ap1,Ttll6,Mzb1,Foxq1,Tpbg,Myh11
1156,Hoxa13,Tpbg,Thbs2,Pnma3,Lingo4,Adamtsl1,Oprd1,Zfp474,Ighg2b,Lck,Bbox1,Tnnc2,Tlr11,Iglc1,Slc6a7,Myl2,Star,Lingo4,Helz2,Neu4
1157,Ccl17,Nppc,Sptlc3,Doc2a,Tnnt3,Hspg2,Gja4,Myo18b,Tcof1,Tek,Grap,Tnr,Fam92b,Esrrg,Irx3,Slc19a1,Slc5a7,Rab15,Nell2,Tek
1158,Sapcd2,Hic1,Ctse,Grin2c,Irf5,Mgat5b,Sp8,Cd6,Ncf1,Lox,Trim68,Adgrl4,Atf3,Mroh3,Myo7a,Sbspon,Kcnj14,Lmx1b,Cd79b,Atp1a1
1159,Cd7,H2-Q4,Angptl7,Serpinf1,Lmx1b,Hvcn1,Tmprss5,Igkv5-45,Fhad1,Cd4,Gad2,Sp100,Klhl10,Ptger1,Themis2,Rsph4a,Vwa5b1,Tinagl1,Lck,Tchh
1160,Btg1,Ccdc114,Klrb1a,Gucy1a1,Grin2c,She,Tcim,Fam183b,Cd300lb,Cytip,Sox11,Nell2,Armc4,Prr16,Col15a1,Spag16,Cd55,Cxcl16,Neurl3,Gimap6
1161,Hsd17b1,Rab15,Gnb3,Ushbp1,Mgat5b,Tmem108,Rgs22,Tuba1c,Utf1,Cmpk2,Snx20,Slit2,Alas2,Lypd6,Apobec3,Mak,Ccdc153,Hhex,Ppp1r18,Grik1
1162,Sox17,Tnfaip8,Clec18a,Fli1,Trim68,H2-Ob,Ccdc89,Daw1,Samd13,Trbv16,Slc6a20a,Acap1,Pheta2,Pirb,Nxph4,Sh3rf3,Arid3b,Rtp4,Ptpn18,Arc
1163,Wdr63,Tmem123,Tbx1,Cfap69,Grm5,Grm5,Kcnj8,Mpzl2,Fam81b,Filip1l,Tnfrsf12a,Plcxd3,Igkv1-122,Ttn,Rgs9,Crb2,Hcrtr1,Ighd,Rasl12,Gimap3
1164,Hist2h2aa1,Tagln,Hic1,Cd53,Tmem123,Atp2a3,Lpl,Gpr174,Grifin,Cfap46,Art3,Rcsd1,Slc22a6,Serpina3g,Tnfrsf13c,Cfap43,Nos1,Fam149a,H2-Ab1,Fgd5
1165,Klra2,Irf7,Rgs22,Tnfrsf12a,Nup210,Fam107b,B3gnt4,Cfap73,Samd3,Cemip,Irf5,Calb1,Camp,Cxcr3,Art3,Apobec2,Trh,Mfge8,Lmnb1,Usp18
1166,Wnt16,Stk17b,Acad12,Irf7,Ikzf1,Camsap3,Gal,Gas2l2,Kif14,Ctla2a,Synpr,Hhex,Shisal2a,Hbb-bt,Gbp5,Rasip1,Cxcr5,Lrmp,Lingo4,Hes5
1167,Slco2a1,Aebp1,Has1,Hspa2,Plekhd1,Pip5kl1,Aoc3,Erich3,Dthd1,Rbm38,Srrm4,Ckm,Pkd1l2,Cox8b,Bbox1,Pgam2,Fcrl1,Cdkl1,Pold1,Fabp3
1168,Lrrc36,Vav1,Slc15a3,Slc15a3,Nfkb2,Ciita,Fam166b,Ifi211,Aire,Myo7a,Ifit3,Tpbg,Ak8,Obscn,Ret,Tmem212,Matn2,Itgb4,Ikzf3,Rbpms
1169,Hspa1b,Psmb9,Prkag3,Pik3ap1,Hspa2,Stat6,Fank1,Ttll6,Tlr11,Btg1,Gpsm3,Esrrg,Lpar2,Hcrtr1,Acta1,Spata17,Rsad2,Zc3hav1,Lmx1b,Tesc
1170,Ect2l,St8sia5,Zfp951,Itgal,Cdkl1,Entpd3,Nmu,Thpo,Rnf39,Sfrp4,Slit2,Nr4a1,Arhgap36,Cd6,Adamtsl1,Ttc25,Fcmr,Six5,Ifi30,Gbp2
1171,Mnx1,Arhgdib,Srd5a2,Bmp6,Rgs9,Ccl19,Card9,Pcsk4,Ifit3,Inhba,Plcxd3,Anxa11,Spef2,Aox3,Sema3f,Ppil6,Nid1,Ahnak2,Hspb6,Shisal1
1172,Mybpc1,Tmem108,Plin5,Traf3ip3,Rab37,Nfatc1,Thbs1,P3h2,Tbc1d24,Slc36a2,Cxcl16,Hspb6,Ptpn18,Hcn3,Tnni2,Tekt1,Iglc3,Kcnj9,Hspb8,Steap2
1173,Fam47e,Mef2c,Kcnmb1,Myoc,Sp100,Tac1,Togaram2,Igfbp2,Bhlha15,Stap1,Myo7a,Xaf1,Slit3,Sbspon,Erbb3,Rsph1,T2,Prkd2,Chrm2,Il2rg
1174,Cd163l1,Srrm4,Pabpc1l,Rac2,Tmem41a,Rab37,Slc10a4,Meig1,Spata18,Otp,Rac2,Wtip,Cdca3,Calca,Chrm2,Dlec1,Inhba,Acta1,Fgd5,Grm8
1175,Dnah3,Hspa2,Olfr273,Nell2,Nell2,Trbv16,Lrrc36,Cfap70,Fabp4,Mrvi1,Ccdc114,Eln,Pde6b,Ms4a4a,Fam107b,Ccdc151,Ramp2,Lama5,Map4k1,Ltb
1176,Dapl1,Cdkl1,Akr1b7,Sox11,Cdh18,Tmem41a,Rsph4a,Ccl22,Oprd1,Mndal,Nell2,Cd19,Bhlha15,Ccl2,Lmnb1,Tmem114,Lypd6,Sv2b,Isg15,Nts
1177,Sytl3,Zc3hav1,A3galt2,Thbs2,Lmnb1,Atp13a4,Meig1,Itih4,Mylk,Hist1h1b,Lama4,Thbs2,Tnfaip3,H2-Q1,Plcxd3,Sp8,Lox,Abcc8,Cd37,Gimap1
1178,Tex29,Palmd,Calml4,Pou2f2,Hhex,Cd53,Stk36,Mylk2,Pcdhb6,Stra6,Acap1,Rab15,Hist2h2aa1,Them6,Sphkap,Emid1,Degs2,Prelp,Six5,Arhgap9
1179,Cfd,Clstn2,Ildr1,Col11a1,Plcb2,Hhex,Fam216b,Crygn,Pklr,Slc18a3,Ptpn18,Lingo4,Osr2,Chrnb4,Ciita,Car3,Sprr1a,Pnma3,Tek,Rubcnl
1180,Higd1b,Mgp,Rslcan18,Cntnap5a,Pou2f2,Calb1,Rassf9,Ccl2,Angptl1,Wtip,Icam1,Btg1,Igkv4-72,Mmp13,Acvrl1,Rgs22,Glycam1,Serpinf1,Sphkap,Daxx
1181,Echdc3,Cnksr3,Ribc1,Tnfaip8,Cd72,Ighd,Apobec2,Pyroxd2,Prg4,Gjd2,Col11a1,Col6a2,Wnt16,Cd5l,Ifi30,Susd5,Slc6a20a,Pdgfrb,Dennd1c,Oprl1
1182,Calml4,Tac1,Slc44a3,Zc3h12a,Kcnj9,Cnn2,Lrrc43,Slc6a7,Chst3,Nfkb2,Lingo4,Hcn3,Wdr63,Cxcl13,Usp18,Myom1,Gja4,Gad2,St8sia5,Mylpf
1183,Six5,Cdh18,BC030867,Il16,Tnfaip8,Bmp6,Catip,Fam216b,Gdpd2,Mfge8,Rab15,Afap1l2,Ak9,Angptl7,Syt5,Nme5,Stk36,Map4k1,Slc30a3,Cdkn1c
1184,Shox2,Kcnj9,Crct1,Tpm2,Clec2d,Adcyap1,Mapk15,Ccdc121,Htr5b,Degs2,Lmx1b,Chst3,Sned1,Il19,Synpo2,Gal,Wdr90,Fli1,Col5a1,Egr1
1185,Mmp25,Fmod,Pla2g4f,Cnksr3,Kcnd3,Wtip,Ccdc65,Tmem232,Dytn,Fbln5,Eln,Map3k20,Dapl1,Ifng,Palmd,B3gnt4,Ly6d,Tbx1,Grasp,Isg15
1186,Spata17,Arhgap29,Ntf3,Slfn2,Hcn3,Sema3f,Th,Ch25h,Rsph14,Sptbn5,Arhgdib,Slco1c1,Cfd,Gnb3,Slc30a3,Calml4,Isg15,Mef2c,H2-Ob,Npy
1187,Folr1,Lingo4,Cpa6,Gimap8,Zic1,Atp13a5,Dynlrb2,Ppp1r32,Sox18,Cd37,Nckap1l,Tmem123,Dnah3,Il6,Vav1,Ifit3b,Rasip1,Arhgef18,Tnnc2,Gbp5
1188,Matn1,Gimap8,Sis,Ecel1,Thbs2,Hcn3,Rsph1,Chia1,Cfap57,Ly6d,Map4k1,Tac2,Cd163l1,Plin1,Lck,Fank1,Olfml2a,Rnf213,Rgs9,Themis2
1189,Clhc1,Col11a1,Npffr1,Ogn,Arhgap29,Grap,Ccdc153,Cfap61,H2-M2,Igf1,Slfn2,Gad2,Fam47e,S100a2,Tac1,Nmu,Sco2,Hspa2,Junb,Ttll8
1190,Ahsg,Lmx1b,Epcam,Mgat5b,Ralgps2,Irf1,Rtp4,Nanos3,Tcte1,Iglc1,Btg1,Ogn,Ccl1,Klrb1a,Pik3cd,Fam166b,Tmem131l,Slc15a3,Ttll8,Tnni2
1191,Wnt2b,Sv2b,E2f8,Malt1,Sema6c,Sox11,Mlip,Lrrc10b,Lrrc9,Lrrc10b,Tinagl1,Gucy1a1,Ctse,Clec18a,Foxq1,Spag8,Lhfpl5,Pik3ap1,Grik3,Cxcl16
1192,Ccl12,Hspb6,Slc24a5,Chn2,Entpd3,Agbl4,Chodl,Dnah12,BC030867,Gimap3,Gbp2,Palmd,Sptlc3,Npas1,Lingo4,Dnah6,Cfap65,Ncf1,Ckm,Col11a1
1193,Hist1h2ae,Cfap69,Lhx2,Tmem108,Gimap8,Col6a1,C1qc,Gpr182,Ect2l,Syk,Isg15,Dennd1c,Ccr4,Sdc1,Hspa2,Matn4,Atp2a3,Tenm2,Cdkn1c,Sp100
1194,H2-Q1,Grin2c,Il1b,Shisa9,H2-Q4,Zc3hav1,Myom1,Elmod1,Lrguk,Unc5cl,Aldh1l2,Trbv16,Ltf,Phf11b,Grik3,Thap1,Cfap46,Themis2,Gucy1a1,Strip2
